m_x,r,T,rho,P,l,X,Y,He3,C12,N14,O16,T6,n_e,m_y,X 7Be,pp,B8,N13,O15,F17,Be7,pep,hep
6.2e-06,0.00387,15500000.0,150.0,2.34e+17,5e-05,0.36493,0.61994,8.92e-06,7.8e-06,0.00374,0.00607,15.471560975609757,2.011,2.183170731707317e-06,1.575609756097561e-11,1.4173170731707317e-05,0.00017192682926829269,0.0001025,0.00014229268292682926,0.00015704878048780488,6.944634146341463e-05,2.213170731707317e-05,6.0699999999999995e-06
6.3e-06,0.00389,15500000.0,150.0,2.34e+17,5e-05,0.36494,0.61994,8.92e-06,7.8e-06,0.00374,0.00607,15.471512195121951,2.011,2.2046341463414627e-06,1.5751219512195124e-11,1.4314634146341462e-05,0.0001735853658536585,0.00010349999999999998,0.0001436585365853658,0.00015860975609756096,7.01292682926829e-05,2.234634146341463e-05,6.129999999999999e-06
6.4e-06,0.00392,15500000.0,150.0,2.34e+17,5e-05,0.36494,0.61993,8.92e-06,7.8e-06,0.00374,0.00607,15.471439024390243,2.011,2.2368292682926827e-06,1.574390243902439e-11,1.452682926829268e-05,0.0001760731707317073,0.00010499999999999998,0.0001457073170731707,0.0001609512195121951,7.115365853658534e-05,2.2668292682926825e-05,6.219999999999999e-06
6.5e-06,0.00394,15500000.0,150.0,2.34e+17,5e-05,0.36495,0.61993,8.92e-06,7.8e-06,0.00374,0.00607,15.471390243902439,2.011,2.258292682926829e-06,1.5739024390243903e-11,1.4668292682926827e-05,0.00017773170731707314,0.00010599999999999999,0.0001470731707317073,0.0001625121951219512,7.183658536585364e-05,2.288292682926829e-05,6.279999999999999e-06
6.7e-06,0.00397,15500000.0,150.0,2.34e+17,6e-05,0.36495,0.61992,8.92e-06,7.8e-06,0.00374,0.00607,15.47131707317073,2.011,2.290487804878048e-06,1.5731707317073173e-11,1.4880487804878044e-05,0.0001802195121951219,0.00010749999999999997,0.00014912195121951214,0.0001648536585365853,7.286097560975607e-05,2.320487804878048e-05,6.3699999999999975e-06
6.8e-06,0.00399,15500000.0,150.0,2.34e+17,6e-05,0.36496,0.61992,8.92e-06,7.8e-06,0.00374,0.00607,15.471268292682927,2.011,2.3119512195121943e-06,1.5726829268292683e-11,1.5021951219512192e-05,0.00018187804878048774,0.00010849999999999997,0.00015048780487804872,0.0001664146341463414,7.354390243902436e-05,2.3419512195121945e-05,6.429999999999998e-06
6.9e-06,0.00402,15500000.0,150.0,2.34e+17,6e-05,0.36496,0.61991,8.93e-06,7.8e-06,0.00374,0.00607,15.471195121951219,2.011,2.3441463414634147e-06,1.5719512195121952e-11,1.5234146341463414e-05,0.00018436585365853657,0.00010999999999999999,0.00015253658536585365,0.0001687560975609756,7.456829268292681e-05,2.3741463414634146e-05,6.519999999999999e-06
7e-06,0.00404,15500000.0,150.0,2.34e+17,6e-05,0.36497,0.61991,8.93e-06,7.8e-06,0.00374,0.00607,15.471146341463415,2.011,2.365609756097561e-06,1.5714634146341465e-11,1.537560975609756e-05,0.00018602439024390243,0.000111,0.00015390243902439022,0.0001703170731707317,7.525121951219511e-05,2.395609756097561e-05,6.58e-06
7.2e-06,0.00407,15500000.0,150.0,2.34e+17,6e-05,0.36497,0.6199,8.93e-06,7.8e-06,0.00374,0.00607,15.471073170731707,2.011,2.39780487804878e-06,1.5707317073170732e-11,1.5587804878048777e-05,0.00018851219512195118,0.00011249999999999998,0.00015595121951219508,0.0001726585365853658,7.627560975609754e-05,2.42780487804878e-05,6.669999999999998e-06
7.3e-06,0.00409,15500000.0,150.0,2.34e+17,6e-05,0.36498,0.61989,8.93e-06,7.8e-06,0.00374,0.00607,15.471024390243903,2.011,2.4192682926829263e-06,1.5702439024390245e-11,1.5729268292682925e-05,0.00019017073170731705,0.00011349999999999998,0.00015731707317073168,0.0001742195121951219,7.695853658536584e-05,2.4492682926829266e-05,6.729999999999998e-06
7.4e-06,0.00412,15500000.0,150.0,2.34e+17,6e-05,0.36499,0.61989,8.93e-06,7.8e-06,0.00374,0.00607,15.47090243902439,2.011,2.4539024390243903e-06,1.57e-11,1.5951219512195124e-05,0.0001928536585365854,0.0001151219512195122,0.0001595609756097561,0.00017665853658536585,7.804634146341464e-05,2.4839024390243904e-05,6.825365853658536e-06
7.6e-06,0.00414,15500000.0,150.0,2.34e+17,6e-05,0.36499,0.61988,8.93e-06,7.8e-06,0.00374,0.00607,15.47080487804878,2.011,2.4778048780487797e-06,1.57e-11,1.610243902439024e-05,0.00019470731707317066,0.00011624390243902435,0.00016112195121951214,0.00017831707317073165,7.879268292682924e-05,2.5078048780487797e-05,6.8907317073170706e-06
7.7e-06,0.00417,15500000.0,150.0,2.34e+17,6e-05,0.365,0.61988,8.93e-06,7.8e-06,0.00374,0.00607,15.470658536585367,2.011,2.5136585365853655e-06,1.57e-11,1.6329268292682927e-05,0.00019748780487804877,0.00011792682926829267,0.00016346341463414633,0.00018080487804878048,7.99121951219512e-05,2.5436585365853657e-05,6.988780487804877e-06
7.9e-06,0.00419,15500000.0,150.0,2.34e+17,7e-05,0.365,0.61987,8.93e-06,7.8e-06,0.00374,0.00607,15.470560975609756,2.011,2.5375609756097558e-06,1.57e-11,1.648048780487805e-05,0.00019934146341463413,0.00011904878048780487,0.00016502439024390243,0.00018246341463414633,8.065853658536585e-05,2.567560975609756e-05,7.054146341463414e-06
8e-06,0.00422,15500000.0,150.0,2.34e+17,7e-05,0.36501,0.61986,8.93e-06,7.8e-06,0.00374,0.00607,15.47041463414634,2.011,2.5734146341463408e-06,1.57e-11,1.670731707317073e-05,0.00020212195121951216,0.00012073170731707315,0.00016736585365853654,0.00018495121951219508,8.177804878048779e-05,2.603414634146341e-05,7.1521951219512175e-06
8.2e-06,0.00425,15500000.0,150.0,2.34e+17,7e-05,0.36502,0.61986,8.93e-06,7.8e-06,0.00374,0.00607,15.470268292682926,2.011,2.609268292682927e-06,1.57e-11,1.6934146341463416e-05,0.00020490243902439024,0.00012241463414634147,0.00016970731707317073,0.0001874390243902439,8.289756097560976e-05,2.6392682926829268e-05,7.250243902439025e-06
8.3e-06,0.00427,15500000.0,150.0,2.34e+17,7e-05,0.36502,0.61985,8.93e-06,7.8e-06,0.00374,0.00607,15.470170731707316,2.011,2.6331707317073173e-06,1.57e-11,1.708536585365854e-05,0.00020675609756097563,0.00012353658536585365,0.00017126829268292683,0.00018909756097560976,8.364390243902439e-05,2.6631707317073174e-05,7.315609756097561e-06
8.5e-06,0.0043,15500000.0,150.0,2.34e+17,7e-05,0.36503,0.61984,8.93e-06,7.8e-06,0.00374,0.00607,15.470024390243902,2.011,2.6690243902439022e-06,1.57e-11,1.731219512195122e-05,0.00020953658536585366,0.00012521951219512194,0.00017360975609756094,0.00019158536585365851,8.476341463414633e-05,2.699024390243902e-05,7.413658536585365e-06
8.6e-06,0.00433,15500000.0,150.0,2.34e+17,7e-05,0.36504,0.61984,8.93e-06,7.8e-06,0.00374,0.00607,15.469878048780487,2.011,2.704878048780487e-06,1.57e-11,1.7539024390243896e-05,0.00021231707317073166,0.00012690243902439022,0.00017595121951219508,0.00019407317073170727,8.588292682926827e-05,2.7348780487804872e-05,7.511707317073169e-06
8.8e-06,0.00435,15500000.0,150.0,2.34e+17,7e-05,0.36504,0.61983,8.93e-06,7.8e-06,0.00374,0.00607,15.469780487804877,2.011,2.7287804878048775e-06,1.57e-11,1.769024390243902e-05,0.00021417073170731704,0.00012802439024390243,0.00017751219512195118,0.00019573170731707314,8.662926829268291e-05,2.7587804878048774e-05,7.577073170731706e-06
9e-06,0.00438,15500000.0,150.0,2.34e+17,8e-05,0.36505,0.61982,8.93e-06,7.8e-06,0.00374,0.00607,15.469634146341463,2.011,2.7646341463414633e-06,1.57e-11,1.7917073170731706e-05,0.00021695121951219513,0.00012970731707317074,0.00017985365853658537,0.00019821951219512195,8.774878048780488e-05,2.7946341463414635e-05,7.675121951219512e-06
9.1e-06,0.00441,15500000.0,150.0,2.34e+17,8e-05,0.36506,0.61982,8.93e-06,7.8e-06,0.00374,0.00607,15.469487804878048,2.011,2.8004878048780483e-06,1.57e-11,1.8143902439024386e-05,0.00021973170731707316,0.000131390243902439,0.00018219512195121948,0.00020070731707317073,8.886829268292682e-05,2.8304878048780482e-05,7.773170731707316e-06
9.3e-06,0.00443,15500000.0,150.0,2.34e+17,8e-05,0.36506,0.61981,8.93e-06,7.8e-06,0.00374,0.00607,15.469390243902438,2.011,2.824390243902439e-06,1.57e-11,1.829512195121951e-05,0.0002215853658536585,0.0001325121951219512,0.0001837560975609756,0.00020236585365853658,8.961463414634145e-05,2.8543902439024388e-05,7.838536585365853e-06
